Subject,Course Number,Course Name,Course Code,Workload %,Advisory Prerequisites,Enforced Prerequisites
"EECS","493","User Interface Development","EECS493","12","N/A","EECS 281; (C or better, No OP/F) or Graduate Standing in CSE. Enrollment in one minor elective allowed for Computer Science Minors."
"EECS","494","Computer Game Design and Development","EECS494","89","N/A","EECS 281; (C or better, No OP/F)"
"EECS","495","Accessible Computing","EECS495","7","N/A","EECS 281; (C or better, No OP/F)"
"EECS","496","Major Design Experience-Professionalism","EECS496","6","N/A","Senior or Above"
"EECS","497","Human-Centered Software Design and Development","EECS497","3","N/A","EECS 281; (C or better, No OP/F)"
"EECS","498","Special Topics","EECS498","39","Permission of instructor.","N/A"
"EECS","499","Advanced Directed Study","EECS499","N/A","Senior standing in EECS.","Senior or Above"
"EECS","501","Probability and Random Processes","EECS501","41","N/A","EECS 301; (C or better, No OP/F) or Graduate Standing"
"EECS","502","Stochastic Processes","EECS502","N/A","EECS 501","N/A"
"EECS","503","Intro Numerical Em","EECS503","N/A","EECS 330","N/A"
"EECS","504","Foundations of Computer Vision","EECS504","23","Undergraduate calculus, linear algebra, probability and programming.","N/A"
"EECS","505","Computational Data Science and Machine","EECS505","44","N/A","[EECS 301 or MATH 425 or STATS 250 or 412 or 426 or IOE 265; (C or better, No OP/F)] or Graduate Standing"
"EECS","506","Design of Power Electronics","EECS506","N/A","N/A","EECS 418; (C or better, No OP/F) or Graduate Standing"
"EECS","507","Introduction to Embedded System Research","EECS507","12","A prior>=400-level course on computer system or sensor design and analysis. Sufficient time to read and understand two 30-page research papers per week.","N/A"
"EECS","508","Control and Modeling of Power Electronics","EECS508","0","N/A","EECS 418; (C or better, No OP/F) or Graduate Standing"
"EECS","509","BIOMEMS","EECS509","N/A","N/A","N/A"
"EECS","511","Integrated Analog/Digital Interface Circuits","EECS511","12","EECS 413/P.I.","N/A"
"EECS","513","Flat Pan Displays","EECS513","N/A","EECS 423, EECS 512 or/and permission of instructor.","N/A"
"EECS","514","Advanced MEMS Devices and Technologies","EECS514","54","EECS 414","N/A"
"EECS","515","Integ Microsystems","EECS515","N/A","EECS 414","N/A"
"EECS","516","Medical Imaging System","EECS516","35","EECS 351","N/A"
"EECS","517","Proc Plasma","EECS517","12","EECS 330","N/A"
"EECS","518","Magnetosphere and Solar Wind","EECS518","N/A","Graduate standing.","N/A"
"EECS","519","Plasma Lab","EECS519","75","Preceded or accompanied by a course on electromagnetism.","N/A"
"EECS","520","Solid State Physics","EECS520","21","Physics 453 or Graduate standing","N/A"
"EECS","521","Solid State Devices","EECS521","44","EECS 421","N/A"
"EECS","522","Analog Integr Ckts","EECS522","56","EECS 413","N/A"
"EECS","523","Digital Integ Tech","EECS523","29","EECS 311and 320, or 423 or 425.","N/A"
"EECS","524","Organic Electronic Devices and Applications","EECS524","N/A","N/A","Graduate"
