Subject,Course Number,Course Name,Course Code,Workload %,Advisory Prerequisites,Enforced Prerequisites
"LATIN","101","Elementary Latin","LATIN101","51","N/A","N/A"
"LATIN","102","Elementary Latin","LATIN102","43","Restricted by placement exam or permission of Elementary Latin Program coordinator.","LATIN 101; or By Assignment of LATIN 102, 103, or 195 by Placement Exam"
"LATIN","103","Review Latin","LATIN103","74","Restricted by placement exam or permission of Elementary Latin Program coordinator.","N/A"
"LATIN","193","Intens Elem Lat I","LATIN193","N/A","N/A","N/A"
"LATIN","231","Roman Kings and Emperors","LATIN231","59","Restricted by placement exam or permission of Elementary Latin Program coordinator.","LATIN 102, 103, or 195; or By Assignment of LATIN 195 or 231 by Placement Exam"
"LATIN","232","Vergil, Aeneid","LATIN232","52","Restricted by placement exam or permission of Elementary Latin Program coordinator.","LATIN 231; or By Assignment of LATIN 232 or 233 by Placement Exam"
"LATIN","233","Latin of Science","LATIN233","N/A","Restricted by placement exam or permission of Elementary Latin Program coordinator.","LATIN 231; or By Assignment of LATIN 232 or 233 by Placement Exam"
"LATIN","294","Intensive Elementary Latin II","LATIN294","N/A","LATIN 193 or equivalent.","N/A"
"LATIN","301","Intermediate Latin I","LATIN301","56","LATIN 194 or 232.","N/A"
"LATIN","401","Republican Prose","LATIN401","N/A","LATIN 301 or 302 or permission of instructor.","N/A"
"LATIN","402","Imperial Prose","LATIN402","N/A","LATIN 301 or 302 or permission of instructor.","N/A"
"LATIN","403","Elementary Latin Composition","LATIN403","33","LATIN 301.","N/A"
"LATIN","409","Augustan Poetry","LATIN409","N/A","LATIN 301 or 302 or permission of instructor.","N/A"
"LATIN","410","Rep-Imp Poetry","LATIN410","N/A","LATIN 301 or 302 or permission of instructor.","N/A"
"LATIN","421","Teach Latin","LATIN421","N/A","Junior standing in Latin and permission of instructor.","N/A"
"LATIN","422","Oral Meths Tch","LATIN422","N/A","LATIN 421","N/A"
"LATIN","426","Practicum","LATIN426","N/A","Junior or senior standing","N/A"
"LATIN","435","Postclassical Latin","LATIN435","N/A","Two years of college Latin.","N/A"
"LATIN","436","Postclassic Latin II","LATIN436","N/A","Two years of college Latin.","N/A"
