Subject,Course Number,Course Name,Course Code,Workload %,Advisory Prerequisites,Enforced Prerequisites
"PSYCH","110","Enhancing Study Habits","PSYCH110","N/A","N/A","N/A"
"PSYCH","111","Introduction to Psychology","PSYCH111","10","N/A","N/A"
"PSYCH","112","Introduction to Psychology as a Natural Science","PSYCH112","12","N/A","N/A"
"PSYCH","114","Honors Introduction to Psychology","PSYCH114","12","Non-honors students must obtain permission of instructor.","LSA Honors"
"PSYCH","120","First-Year Seminar in Psychology as a Social Science","PSYCH120","8","Enrollment restricted to first-year students, including those with sophomore standing.","N/A"
"PSYCH","121","First-Year Seminar in Psychology as a Natural Science","PSYCH121","19","Enrollment restricted to first-year students, including those with sophomore standing.","N/A"
"PSYCH","122","Intergroup Dialogues","PSYCH122","7","N/A","N/A"
"PSYCH","200","Independent Study in Psychological Issues","PSYCH200","N/A","One of the following: PSYCH 111, 112, 114, 115, 120, or 121.","N/A"
"PSYCH","211","Project Outreach","PSYCH211","7","Prior or concurrent enrollment in an introductory Psychology course.","N/A"
"PSYCH","213","Foundations of Intergroup Relations","PSYCH213","2","N/A","No Credit in PSYCH 218, Topic #2 ""Foundations in Intergroup Relations"""
"PSYCH","217","Sophomore Seminar in Psychology as a Natural Science","PSYCH217","N/A","Introductory course in psychology or biology.","N/A"
"PSYCH","218","Sophomore Seminar in Psychology as a Social Science","PSYCH218","3","An introductory course in psychology or similar social science.","N/A"
"PSYCH","220","Introduction to Biopsychology, for Non-BCN or Non-Neuroscience majors","PSYCH220","23","N/A","N/A"
"PSYCH","223","Entrepreneurial Creativity","PSYCH223","19","N/A","No credit: UC 270 #27: Entrepreneurial Creativity"
"PSYCH","226","Undergraduate Research in Psychology","PSYCH226","N/A","N/A","N/A"
"PSYCH","230","Introduction to Behavioral Neuroscience","PSYCH230","21","Basic familiarity with biology and chemistry","(PSYCH 111 or 112 or 114) or (BIOLOGY 171 or 172 or 174 or 192 or 195)"
"PSYCH","235","Introduction to Evolution and Behavior","PSYCH235","6","N/A","PSYCH 111 or 112 or 114 or 115"
"PSYCH","240","Introduction to Cognitive Psychology","PSYCH240","10","N/A","PSYCH 111 or 112 or 114"
"PSYCH","242","Language and Human Mind","PSYCH242","5","N/A","No credit in LING 103, topic 6 ""Language & Mind"""
"PSYCH","250","Introduction to Developmental Psychology","PSYCH250","5","N/A","PSYCH 111 or 112 or 114 or 115"
"PSYCH","265","Minds and Brains in America","PSYCH265","3","N/A","N/A"
"PSYCH","270","Introduction to Abnormal Psychology","PSYCH270","26","N/A","PSYCH 111 or 112 or 114 or 115"
"PSYCH","280","Introduction to Social Psychology","PSYCH280","5","N/A","PSYCH 111 or 112 or 114 or 115 or 116"
"PSYCH","290","Introduction to the Psychology of Personality","PSYCH290","7","N/A","PSYCH 111 or 112 or 114 or 115 or 116"
"PSYCH","291","Introduction to the Psychology of Women","PSYCH291","4","N/A","PSYCH 111 or 112 or 114 or 115 or 116 or WGS/NURS 220"
"PSYCH","300","Research Methods Psych NS Special Topics","PSYCH300","1","N/A","(STATS 206 or 250 or 280 or 425 or MATH 425 or STAT student group) and (PSYCH 220 or 230 or 235 or 240 or 250 or 270 or 280 or 290 or 291)"
"PSYCH","301","Research Methods Psych SS Special Topics","PSYCH301","N/A","N/A","(STATS 206 or 250 or 280 or 425 or MATH 425 or STAT student group) and (PSYCH 220 or 230 or 235 or 240 or 250 or 270 or 280 or 290 or 291)"
"PSYCH","302","Research Methods in Cognitive Neuroscience","PSYCH302","46","N/A","(STATS 206 or 250 or 280 or 425 or STAT Student Group) and (PSYCH 220 or 230 or 235 or 240)"
"PSYCH","303","Research Methods in Psychology","PSYCH303","46","N/A","(STATS 206 or 250 or 280 or 425 or MATH 425 or STAT student group) & (PSYCH 220 or 230 or 235 or 240 or 250 or 270 or 280 or 290 or 291)"
"PSYCH","304","Teaching&Leading","PSYCH304","14","One of the following: PSYCH 111, 112, 114, or 115 and permission of instructor.","N/A"
"PSYCH","305","Practicum in Psychology","PSYCH305","8","One of the following: PSYCH 230, 240, 250, 260, 270, 280, or 290.","N/A"
"PSYCH","306","Project Outreach Group Leading","PSYCH306","7","PSYCH 211 and one of the following: PSYCH 111, 112, 114, or 115 and permission of instructor.","N/A"
"PSYCH","307","Directed Experiences with Children","PSYCH307","11","One of the following: PSYCH 111, 112, 114, or 115 and permission of instructor.","N/A"
"PSYCH","308","Peer Advising Pract","PSYCH308","N/A","Admission by application. At least junior standing in the Psychology or Brain, Behavior and Cognitive Sciences concentration.","N/A"
"PSYCH","310","Processes of Intergroup Dialogues Facilitation","PSYCH310","19","Admission by application. Previous participation in ALA 122/PSYCH 122/SOC 122 strongly encouraged.","N/A"
"PSYCH","311","Practicum in Facilitating Intergroup Dialogues","PSYCH311","70","PSYCH 310/SOC 320 and permission of instructor.","N/A"
"PSYCH","312","Intergroup Conflict and Coexistence:  Religion, Ethnicity and Culture","PSYCH312","N/A","N/A","N/A"
"PSYCH","314","Positive Psychology","PSYCH314","16","N/A","PSYCH 111 or 112 or 114"
"PSYCH","315","Aspc Blk Exp","PSYCH315","N/A","One course in Psychology or Afro-American and African Studies. AAS 201 recommended.","N/A"
"PSYCH","316","Wrl Blk Chld","PSYCH316","N/A","One course in Psychology or Afro-American and African Studies.","N/A"
